mousesports,mouz
e-frag.net,e-frag
infinity,infinityg
hellraisers,hr
astral authority,a.auth
enemy,nme
sponsorless,tstorm
maximum effort,nihilum
ex-orbit,orbit
london conspiracy,lc
enemy esports,nme
dobrygaming,d&g
phenomenon,ph
cph wolves,cw
cloud 9,cloud9
natus vincere,na'vi
virtus.pro,vp
immunity,imm
ebettle,eb
infinty,infinityg
luminosity,lg
flipsid3,fsid3
follow esports,fe
team crashers,crashers
game7,g7
dreamtanks,drt
killerfish,kfish
mykpv,kpv
ace,aceg
 germany,germany
nerdrage,nr
aftermatch,am
complexity,col
publiclir.se,publiclir
playing ducks,ducks
space soldiers,spaces
